PERMNO,date,RET
2,2003-06-30,0.018964
2,2003-07-31,0.039722
2,2003-08-31,0.111408
2,2003-09-30,-0.004136
2,2003-10-31,0.042512
2,2003-11-30,0.014296
2,2003-12-31,0.248247
2,2004-01-31,-0.069663
2,2004-02-29,-0.021337
2,2004-03-31,-0.021197
2,2004-04-30,0.006794
2,2004-05-31,-0.032265
2,2004-06-30,0.026438
2,2004-07-31,-0.07405
2,2004-08-31,-0.03083
2,2004-09-30,0.028322
2,2004-10-31,-0.092514
2,2004-11-30,0.014008
2,2004-12-31,0.038093
2,2005-01-31,-0.081128
2,2005-02-28,-0.01793
2,2005-03-31,-0.175596
2,2005-04-30,-0.092208
2,2005-05-31,0.200525
2,2005-06-30,0.078338
2,2005-07-31,0.082941
2,2005-08-31,-0.057849
2,2005-09-30,-0.104709
2,2005-10-31,-0.104868
2,2005-11-30,-0.182482
2,2005-12-31,-0.113242
2,2006-01-31,0.238929
2,2006-02-28,-0.14547
2,2006-03-31,0.047267
2,2006-04-30,0.075693
2,2006-05-31,0.187937
2,2006-06-30,0.106201
2,2006-07-31,0.081907
2,2006-08-31,-0.086876
2,2006-09-30,0.139822
2,2006-10-31,0.04991
2,2006-11-30,-0.155785
2,2006-12-31,0.050975
2,2007-01-31,0.06901
2,2007-02-28,-0.021011
2,2007-03-31,-0.039498
2,2007-04-30,0.019256
2,2007-05-31,-0.0317
2,2007-06-30,0.26042
2,2007-07-31,-0.142857
2,2007-08-31,-0.043519
2,2007-09-30,0.193884
2,2007-10-31,0.067847
2,2007-11-30,-0.232457
2,2007-12-31,-0.165605
2,2008-01-31,0.133387
2,2008-02-29,-0.165899
2,2008-03-31,-0.181701
2,2008-04-30,0.217848
2,2008-05-31,-0.252155
2,2008-06-30,-0.327485
2,2008-07-31,-0.037391
2,2008-08-31,-0.096658
2,2008-09-30,-0.055
2,2008-10-31,-0.387302
2,2008-11-30,-0.094991
2,2008-12-31,-0.389313
2,2009-01-31,-0.059375
2,2009-02-28,-0.252492
2,2009-03-31,-0.137778
2,2009-04-30,-0.010309
2,2009-05-31,-0.609375
2,2009-06-30,
3,1991-12-31,0.110837
3,1992-01-31,0.148559
3,1992-02-29,0.044324
3,1992-03-31,-0.137037
3,1992-04-30,0.032189
3,1992-05-31,-0.006237
3,1992-06-30,-0.194644
3,1992-07-31,-0.026042
3,1992-08-31,-0.013476
3,1992-09-30,-0.019022
3,1992-10-31,0.163435
3,1992-11-30,0.097524
3,1992-12-31,0.03913
3,1993-01-31,-0.004184
3,1993-02-28,-0.107227
3,1993-03-31,-0.028302
3,1993-04-30,-0.004854
3,1993-05-31,0.10722
3,1993-06-30,-0.302428
3,1993-07-31,-0.297468
3,1993-08-31,-0.040721
3,1993-09-30,-0.117925
3,1993-10-31,0.315508
3,1993-11-30,0.028293
3,1993-12-31,-0.071429
3,1994-01-31,0.119658
3,1994-02-28,0.118168
3,1994-03-31,-0.089041
3,1994-04-30,-0.097744
3,1994-05-31,-0.021
3,1994-06-30,-0.094017
3,1994-07-31,0.271226
3,1994-08-31,0.077774
3,1994-09-30,-0.069085
3,1994-10-31,0.282004
3,1994-11-30,-0.134703
3,1994-12-31,0.04698
3,1995-01-31,0.035256
3,1995-02-28,-0.0187
3,1995-03-31,-0.107595
3,1995-04-30,0.085106
3,1995-05-31,0.089739
3,1995-06-30,0.117293
3,1995-07-31,-0.030956
3,1995-08-31,-0.041778
3,1995-09-30,-0.133721
3,1995-10-31,-0.025168
3,1995-11-30,0.053219
3,1995-12-31,-0.163934
3,1996-01-31,-0.133333
3,1996-02-29,-0.004525
3,1996-03-31,-0.106818
3,1996-04-30,-0.007634
3,1996-05-31,0.071795
3,1996-06-30,-0.196172
3,1996-07-31,0.047619
3,1996-08-31,0.102273
3,1996-09-30,-0.085052
3,1996-10-31,0.03662
3,1996-11-30,0.048913
3,1996-12-31,-0.134715
3,1997-01-31,-0.203593
3,1997-02-28,-0.022556
3,1997-03-31,0.123077
3,1997-04-30,-0.068493
3,1997-05-31,-0.022059
3,1997-06-30,-0.142857
3,1997-07-31,0.22807
3,1997-08-31,0.242857
3,1997-09-30,-0.002874
3,1997-10-31,-0.214697
3,1997-11-30,0.042202
3,1997-12-31,-0.260563
3,1998-01-31,0.395238
3,1998-02-28,0.290102
3,1998-03-31,0.164021
3,1998-04-30,-0.004545
3,1998-05-31,-0.027397
3,1998-06-30,0.077465
